B3,600
C4,600
D4,600

E4,1200
D4,600

A3,1800

E4,1200
D4,600

G3,600
D4,600
B3,600

C4,1200
A3,600

B3,1200
A3,600

C4,1200
A3,600


B3,600
C4,600
D4,600

E4,1200
D4,600

A3,1800

E4,1200
D4,600

G3,600
D4,600
B3,600

C4,1200
A3,600

B3,1200
A3,600

C4,1200
A3,600


B3,600
C4,600
D4,600

B3,1800

C4,1800

B3,600
C4,600
D4,600

E4,1200
D4,600

A3,1800

E4,1200
D4,600

G3,600
D4,600
B3,600

C4,1200
A3,600

B3,1200
A3,600

C4,1200
A3,600


B3,600
C4,600
D4,600

E4,1200
D4,600

A3,1800

E4,1200
D4,600

G3,600
D4,600
B3,600

C4,1200
A3,600

B3,1200
A3,600

C4,1200
A3,600


B3,600
C4,600
D4,600

B3,1800

C4,1800



E4,600
F4,600

G4,1200
F4,600


G4,1200
F4,600

F4,1200
E4,600


E4,600
D4,600
B3,600

C4,1800

C4,600
B3,600
A3,600

D4,1800

D4,600
E4,600
F4,600

G4,1200
F4,600

G4,1200
F4,600

F4,1200
E4,600


E4,600
D4,600
B3,600

C4,1800

C4,1500

B3,1800

B3,1800


C4,600
D4,600

E4,1200
D4,600

A3,1800

E4,1200
D4,600

G3,600
D4,600
B3,600


C4,1200
A3,600

B3,1200
A3,600

C4,1200
A3,600

B3,600
C4,600
D4,600

F4,1200
D4,600


A3,1800

E4,1200
D4,600

G3,600
D4,600
B3,600


C4,1200
A3,600

B3,1200
A3,600

C4,1200
A3,600

B3,600
C4,600
D4,600

A3,1800


C4,1800

C4,1800


A4,900
E4,300
A4,300
E4,300

A4,1800

G4,600
A4,600
B4,600

D5,600
B4,600
C5,600

C5,1800

C5,600
B4,600
A4,600

B4,1800

B4,600
E4,600
F4,600

G4,600
A4,900
E4,300

G4,600
A4,900
E4,300

G4,600
A4,600
B4,600

D5,600
B4,600
C5,600

C5,1800


F4,1800

D4，1800

G4,1800

A4,900
E4,300
A4,300
E4,300

A4,1800

G4,600
A4,600
B4,600

D5,600
B4,600
C5,600

C5,1800

C5,600
B4,600
A4,600

B4,1800

B4,600
E4,600
F4,600

G4,600
A4,900
E4,300

G4,600
A4,900
E4,300

G4,600
A4,600
B4,600

D5,600
B4,600
C5,600

C5,1800

F4,1800

E4,1800

B4,600
C5,600
D5,600

E5,1200
D5,300

A4,1800

E5,1200
D5,600

G4,600
D5,600
B4,600

C5,1200
A4,600

B4,1200
A4,600

C5,1200
A4,600

B4,600
C5,600
D5,600

E5,1200
D5,300

A4,1800

E5,1200
D5,600

G4,600
D5,600
B4,600

C5,1200
A4,600

B4,1200
A4,600

C5,1200
A4,600

B4,600
C5,600
D5,600

B4,1800

C5,3600


























